start_date,end_date,salary,duration,student_id,high_perc,high_spec,mba_spec,second_perc,gender,degree_perc,placed,experience_years,employability_perc,mba_perc,work_experience,degree_type
2020-01-01,2020-06-27,33295.0,,22,41.36,Science,Mkt&Fin,57.79,F,61.02,False,1,75.12,60.06,False,Comm&Mgmt
,,27253.0,,23,55.03,Commerce,Mkt&HR,61.12,F,75.05,False,1,69.63,59.46,False,Sci&Tech
2020-02-05,2020-08-28,,7.0,24,70.73,Commerce,Mkt&Fin,69.08,F,63.68,True,1,87.11,61.76,True,Comm&Mgmt
,,30190.0,5.0,25,81.18,Science,Mkt&HR,68.4,F,70.91,False,1,60.37,65.16,False,Comm&Mgmt
,,,6.0,26,42.38,Science,Mkt&Fin,65.29,M,67.79,True,1,84.42,55.6,False,Comm&Mgmt
,,24896.0,11.0,27,91.09,Commerce,Mkt&Fin,85.18,M,90.36,True,1,57.46,73.14,True,Comm&Mgmt
,2020-06-16,24313.0,,28,77.3,Science,Mkt&Fin,72.32,M,91.0,True,1,91.38,65.48,False,Comm&Mgmt
2020-01-01,2020-06-25,,12.0,29,95.57,Science,Mkt&Fin,89.4,F,86.35,True,1,92.02,70.51,True,Comm&Mgmt
,2020-11-19,37580.0,,30,50.47,Commerce,Mkt&HR,52.46,M,59.98,True,1,59.8,62.5,False,Comm&Mgmt
,,31234.0,10.0,31,79.15,Commerce,Mkt&Fin,72.94,M,76.9,True,1,51.39,62.56,False,Comm&Mgmt
,2020-08-13,26569.0,10.0,32,77.33,Science,Mkt&Fin,80.07,M,76.22,True,1,59.86,69.58,True,Comm&Mgmt
2020-04-30,,27690.0,11.0,33,56.65,Commerce,Mkt&HR,58.14,M,56.86,True,1,60.79,60.82,True,Comm&Mgmt
2020-05-07,2020-09-02,27745.0,6.0,34,85.62,Commerce,Mkt&Fin,85.74,F,77.92,True,1,71.7,72.87,True,Comm&Mgmt
,2020-08-15,,7.0,35,80.97,Commerce,Mkt&HR,85.63,F,75.83,True,1,88.29,76.38,False,Sci&Tech
2020-01-23,2020-09-06,,6.0,36,65.62,Science,Mkt&HR,52.75,M,69.2,False,1,59.83,58.16,True,Comm&Mgmt
2020-01-03,,,,37,75.71,Commerce,Mkt&Fin,69.4,M,70.35,True,1,51.08,71.54,False,Sci&Tech
2020-02-09,,34367.0,8.0,38,65.54,Commerce,Mkt&Fin,66.46,F,77.68,True,1,73.69,73.98,False,Comm&Mgmt
,2021-01-15,31148.0,,39,65.46,Science,Mkt&Fin,57.23,M,58.68,True,1,54.0,60.84,True,Comm&Mgmt
,2020-06-15,29545.0,5.0,40,63.08,Science,Mkt&Fin,79.59,M,67.25,True,1,63.13,63.81,True,Sci&Tech
2020-01-01,,,8.0,41,43.46,Arts,Mkt&HR,53.69,M,54.96,False,1,64.44,55.22,False,Comm&Mgmt
,,32605.0,6.0,42,69.76,Science,Mkt&Fin,82.18,M,66.07,True,1,72.04,59.84,False,Comm&Mgmt
2020-06-07,2020-06-02,24749.0,5.0,43,68.27,Commerce,Mkt&Fin,76.34,M,59.78,True,1,86.63,60.79,False,Comm&Mgmt
,2020-10-11,42902.0,9.0,44,79.22,Commerce,Mkt&Fin,73.31,M,73.87,True,1,85.32,56.7,True,Comm&Mgmt
2020-01-01,2020-05-01,26882.0,6.0,45,55.09,Commerce,Mkt&Fin,55.65,F,73.72,True,1,82.41,61.56,False,Sci&Tech
2020-01-01,2020-10-03,26783.0,10.0,46,58.93,Science,Mkt&HR,58.61,F,68.35,True,1,61.64,67.6,False,Comm&Mgmt
,,,9.0,47,78.26,Commerce,Mkt&Fin,77.99,M,68.43,True,1,56.61,68.44,False,Sci&Tech
2020-01-23,2021-01-01,21262.0,7.0,48,60.45,Science,Mkt&Fin,59.22,F,60.53,False,1,58.99,54.74,True,Comm&Mgmt
2020-07-18,2020-12-28,,9.0,49,61.87,Science,Mkt&HR,67.39,F,74.27,True,1,84.5,67.66,True,Comm&Mgmt
2020-01-02,,,7.0,50,41.58,Science,Mkt&Fin,68.58,F,70.4,True,1,79.48,58.58,False,Sci&Tech
2020-01-01,2020-06-13,23852.0,11.0,51,82.86,Commerce,Mkt&Fin,74.22,F,79.49,True,1,77.89,63.24,True,Others
2020-01-01,2020-06-03,,6.0,52,59.39,Commerce,Mkt&Fin,76.04,M,63.85,True,1,72.93,59.35,False,Sci&Tech
2020-03-25,2021-01-08,,7.0,53,60.39,Science,Mkt&HR,59.66,M,50.5,False,1,84.74,60.78,False,Comm&Mgmt
,2020-11-17,37844.0,,54,51.6,Commerce,Mkt&Fin,62.59,M,66.33,True,1,62.44,54.65,True,Others
2020-01-01,2020-10-23,22321.0,,55,86.16,Commerce,Mkt&HR,71.8,F,74.27,True,1,58.54,58.6,False,Comm&Mgmt
2020-01-02,,25089.0,10.0,56,56.5,Commerce,Mkt&HR,45.49,M,53.73,True,1,53.41,53.53,False,Others
,,31589.0,10.0,57,62.71,Science,Mkt&HR,59.13,F,61.23,True,1,92.13,56.29,False,Others
,2020-10-20,,,58,62.32,Science,Mkt&HR,57.24,F,64.87,False,1,65.4,66.99,False,Sci&Tech
2020-01-09,2020-09-09,34514.0,,59,73.33,Arts,Mkt&Fin,58.77,F,62.8,False,1,77.14,73.69,False,Comm&Mgmt
2020-07-06,,27569.0,5.0,60,64.79,Commerce,Mkt&Fin,69.1,F,64.52,False,1,64.45,69.63,False,Sci&Tech
2020-01-01,,,6.0,61,70.17,Commerce,Mkt&Fin,69.72,M,60.58,True,1,72.45,62.41,True,Comm&Mgmt
2020-05-09,2020-08-23,32598.0,5.0,62,65.98,Commerce,Mkt&HR,56.02,M,65.86,True,1,59.47,71.0,True,Comm&Mgmt
2020-01-01,,,12.0,63,75.78,Commerce,Mkt&Fin,71.98,F,65.9,True,1,87.62,63.1,True,Comm&Mgmt
,2020-12-20,34631.0,10.0,64,63.22,Science,Mkt&Fin,67.39,M,64.93,False,1,76.69,63.44,True,Comm&Mgmt
2020-01-01,,23030.0,,65,60.35,Commerce,Mkt&Fin,71.1,M,71.01,True,1,91.37,58.97,True,Sci&Tech
2020-07-25,2021-01-23,,,66,69.9,Commerce,Mkt&HR,62.61,M,65.2,True,1,55.77,67.06,True,Comm&Mgmt
2020-05-20,2020-10-19,,7.0,67,70.67,Commerce,Mkt&Fin,56.35,F,61.06,False,1,94.06,60.19,False,Comm&Mgmt
,2020-09-29,,8.0,68,77.71,Commerce,Mkt&Fin,85.24,M,74.3,False,2,78.96,65.24,True,Sci&Tech
2020-04-25,,,5.0,69,63.77,Commerce,Mkt&Fin,66.71,F,67.74,True,1,83.75,54.68,False,Comm&Mgmt
,2020-04-19,22390.0,6.0,70,77.49,Commerce,Mkt&Fin,60.58,F,65.92,False,1,92.7,64.83,True,Comm&Mgmt
2020-01-01,2020-07-26,22777.0,7.0,71,70.68,Science,Mkt&Fin,63.02,M,71.64,True,1,75.93,54.87,False,Comm&Mgmt
2020-01-01,2020-04-26,33502.0,9.0,72,62.87,Commerce,Mkt&Fin,68.97,M,58.45,False,1,57.49,66.18,False,Comm&Mgmt
2020-01-02,2020-08-14,27155.0,6.0,73,67.05,Commerce,Mkt&Fin,58.25,M,66.25,False,1,66.82,54.62,False,Comm&Mgmt
2020-03-24,2020-12-22,,,74,56.14,Science,Mkt&HR,54.95,F,65.34,False,1,71.97,55.58,False,Comm&Mgmt
2020-01-02,2020-04-17,21610.0,,75,66.09,Commerce,Mkt&Fin,65.83,M,63.24,True,1,68.33,54.99,True,Comm&Mgmt
,2020-10-27,53745.0,5.0,76,65.32,Commerce,Mkt&Fin,51.31,M,60.49,False,1,84.91,61.86,False,Comm&Mgmt
2020-01-02,2020-09-22,,12.0,77,57.31,Commerce,Mkt&HR,74.39,M,75.65,True,1,86.97,57.84,False,Others
2020-01-01,2020-08-30,29973.0,12.0,78,72.35,Commerce,Mkt&Fin,78.99,F,70.66,True,1,91.7,71.94,True,Comm&Mgmt
2020-01-18,2020-12-25,29917.0,10.0,79,74.86,Commerce,Mkt&Fin,75.61,M,68.1,False,1,75.52,62.43,False,Sci&Tech
,2020-10-04,27764.0,11.0,80,59.51,Commerce,Mkt&HR,65.84,M,57.05,True,1,55.09,52.08,True,Comm&Mgmt
2020-02-24,2020-09-11,31502.0,6.0,81,67.57,Commerce,Mkt&HR,71.1,M,66.39,False,1,76.38,67.03,False,Comm&Mgmt
,2020-08-13,26584.0,8.0,82,59.93,Science,Mkt&HR,64.41,M,58.62,True,1,69.51,59.69,False,Comm&Mgmt
2020-04-27,2020-07-30,29554.0,5.0,83,60.26,Commerce,Mkt&HR,53.11,F,59.0,False,1,51.84,56.42,False,Sci&Tech
,2020-10-18,25676.0,7.0,84,56.4,Science,Mkt&HR,54.82,M,62.88,False,1,61.9,54.94,False,Comm&Mgmt
2020-06-27,,25750.0,8.0,85,53.0,Science,Mkt&HR,82.35,M,61.48,False,1,61.59,64.89,False,Sci&Tech
,,28636.0,6.0,86,50.62,Commerce,Mkt&HR,61.34,M,72.36,True,1,96.99,65.16,False,Sci&Tech
,,32739.0,6.0,87,57.34,Commerce,Mkt&Fin,52.72,M,60.91,True,1,74.32,52.6,False,Comm&Mgmt
,2020-11-22,22190.0,,88,75.7,Science,Mkt&HR,85.19,M,64.91,True,1,77.92,57.95,False,Comm&Mgmt
2020-07-04,,30652.0,10.0,89,49.81,Science,Mkt&Fin,79.79,M,64.33,False,1,68.69,66.9,False,Comm&Mgmt
2020-01-22,2020-09-08,,11.0,90,75.91,Commerce,Mkt&HR,79.06,F,79.18,True,1,52.14,72.94,True,Comm&Mgmt
2020-01-08,2020-10-10,48055.0,,91,81.16,Commerce,Mkt&Fin,71.02,M,67.79,True,1,75.29,66.25,True,Comm&Mgmt
2020-01-13,,31986.0,,92,61.86,Science,Mkt&HR,67.45,F,66.0,False,1,95.39,68.16,True,Comm&Mgmt
2020-07-02,2020-06-16,31012.0,5.0,93,73.72,Science,Mkt&Fin,61.46,F,66.36,True,1,61.14,56.58,True,Comm&Mgmt
2020-07-27,2021-01-14,,,94,54.08,Science,Mkt&HR,48.24,M,62.33,False,1,87.54,67.34,False,Comm&Mgmt
2020-01-01,2020-05-13,38215.0,11.0,95,65.99,Commerce,Mkt&Fin,59.36,M,65.39,True,1,77.07,68.14,True,Comm&Mgmt
2020-01-17,2020-06-02,,6.0,96,76.47,Commerce,Mkt&Fin,73.83,M,65.86,False,1,84.35,62.19,True,Comm&Mgmt
2020-01-01,2020-11-23,,12.0,97,67.3,Commerce,Mkt&HR,61.57,M,63.28,True,1,50.96,58.47,False,Comm&Mgmt
2020-05-28,2021-01-06,23236.0,,98,69.01,Commerce,Mkt&Fin,65.49,M,71.0,True,1,89.77,66.01,True,Comm&Mgmt
2020-01-06,,,7.0,99,48.93,Arts,Mkt&HR,75.17,M,65.56,False,1,64.32,63.97,False,Comm&Mgmt
,2020-09-23,,,100,48.4,Commerce,Mkt&Fin,55.0,M,52.96,True,1,50.74,54.94,False,Comm&Mgmt
2020-03-14,2020-08-27,33643.0,,101,54.16,Commerce,Mkt&Fin,69.3,M,53.88,True,1,73.94,65.8,False,Comm&Mgmt
,2020-07-01,24353.0,,102,60.64,Science,Mkt&HR,68.69,F,76.02,True,1,75.89,67.68,False,Comm&Mgmt
2020-01-13,2020-12-25,,10.0,103,89.63,Commerce,Mkt&Fin,76.37,M,60.27,False,1,69.32,57.54,True,Comm&Mgmt
,,,11.0,104,72.87,Commerce,Mkt&HR,71.57,M,70.12,True,1,57.14,61.46,True,Sci&Tech
,2020-04-01,27543.0,7.0,105,47.76,Commerce,Mkt&Fin,76.87,M,55.14,True,1,73.53,54.4,False,Sci&Tech
,,30671.0,6.0,106,58.59,Science,Mkt&HR,61.11,F,81.44,True,1,68.11,66.61,True,Sci&Tech
2020-03-19,,22014.0,5.0,107,61.11,Commerce,Mkt&HR,65.85,M,66.5,False,1,61.04,57.69,False,Comm&Mgmt
2020-01-01,,26790.0,,108,48.49,Science,Mkt&Fin,45.55,F,64.53,False,1,55.76,58.27,False,Comm&Mgmt
2020-03-24,2020-04-09,,,109,69.92,Science,Mkt&HR,67.27,F,68.99,True,1,91.96,57.29,True,Comm&Mgmt
2020-05-09,2020-07-25,30604.0,6.0,110,51.56,Science,Mkt&HR,68.91,M,62.47,True,1,63.88,67.12,False,Comm&Mgmt
2020-01-01,2020-03-31,34829.0,,111,54.24,Science,Mkt&Fin,56.84,M,59.88,False,1,82.53,60.88,True,Comm&Mgmt
2020-07-23,,,7.0,112,46.21,Commerce,Mkt&HR,78.86,M,64.18,False,2,65.51,55.74,True,Comm&Mgmt
2020-01-13,2020-10-09,,,113,62.08,Commerce,Mkt&Fin,63.82,M,64.22,True,1,70.79,55.73,True,Comm&Mgmt
2020-01-03,,31184.0,9.0,114,66.74,Commerce,Mkt&HR,76.39,M,70.2,False,1,80.46,66.89,False,Sci&Tech
2020-02-18,,28037.0,,115,54.84,Science,Mkt&Fin,67.78,M,60.64,True,1,70.35,64.65,False,Sci&Tech
,,29222.0,9.0,116,69.8,Commerce,Mkt&HR,63.87,M,64.48,True,1,70.78,60.78,False,Others
2020-01-01,2020-06-23,,,117,59.44,Science,Mkt&Fin,85.52,M,67.07,True,1,83.18,76.4,False,Comm&Mgmt
,2020-12-23,,9.0,118,60.57,Science,Mkt&Fin,66.97,F,67.96,True,1,63.18,61.73,True,Comm&Mgmt
,,31384.0,,119,61.93,Science,Mkt&HR,71.9,M,62.46,True,1,53.21,53.4,False,Comm&Mgmt
,2020-10-13,28867.0,11.0,120,57.1,Arts,Mkt&HR,69.3,F,62.39,True,1,55.22,62.5,False,Comm&Mgmt
2020-01-15,2020-06-06,,,121,70.58,Science,Mkt&HR,75.64,F,74.03,True,1,62.42,73.17,True,Sci&Tech
2020-01-20,2020-04-08,26127.0,5.0,122,46.4,Commerce,Mkt&HR,42.97,M,61.9,False,1,53.59,54.1,False,Comm&Mgmt
,2020-05-30,22062.0,,123,57.39,Commerce,Mkt&Fin,53.0,M,58.23,True,1,57.14,54.57,False,Comm&Mgmt
2020-01-27,2020-08-16,42786.0,8.0,124,69.59,Science,Mkt&HR,81.07,M,76.78,True,1,97.82,67.89,True,Comm&Mgmt
2020-01-24,,27849.0,5.0,125,62.88,Commerce,Mkt&HR,60.87,M,61.76,True,1,63.3,52.84,False,Sci&Tech
,2020-11-02,,11.0,126,68.26,Commerce,Mkt&HR,64.43,M,76.22,True,1,58.09,54.26,False,Comm&Mgmt
2020-01-01,2020-10-24,25770.0,12.0,127,62.37,Commerce,Mkt&HR,51.45,F,64.17,False,1,52.51,57.91,False,Comm&Mgmt
2020-01-06,2020-04-28,27170.0,5.0,128,59.97,Science,Mkt&HR,65.13,F,64.18,True,1,85.93,56.4,False,Sci&Tech
,,25483.0,10.0,129,64.17,Science,Mkt&HR,60.45,M,56.38,False,1,65.76,68.87,True,Comm&Mgmt
2020-02-14,2020-07-15,31156.0,6.0,130,63.16,Science,Mkt&Fin,67.12,M,62.54,False,1,66.3,66.02,False,Comm&Mgmt
2020-01-15,,,5.0,131,46.0,Science,Mkt&Fin,59.94,F,54.55,False,1,54.5,64.39,True,Sci&Tech
2020-01-01,,,7.0,132,67.44,Commerce,Mkt&Fin,80.42,M,74.74,True,1,93.43,60.87,True,Comm&Mgmt
2020-01-01,2020-08-13,,10.0,133,68.48,Science,Mkt&Fin,81.47,M,72.72,True,1,53.52,57.82,True,Sci&Tech
2020-01-01,2020-09-20,21831.0,,134,80.97,Commerce,Mkt&HR,79.39,M,70.9,True,1,54.66,57.5,False,Comm&Mgmt
,,,,135,63.87,Commerce,Mkt&Fin,69.74,F,69.25,False,1,90.8,69.77,False,Comm&Mgmt
,,25828.0,12.0,136,73.84,Science,Mkt&Fin,86.46,M,77.33,True,1,83.07,60.24,False,Comm&Mgmt
2020-01-03,,28171.0,,137,60.87,Science,Mkt&Fin,68.17,F,68.41,True,1,55.74,66.83,True,Sci&Tech
2020-07-20,,24628.0,5.0,138,62.3,Commerce,Mkt&Fin,55.63,M,50.0,False,1,55.3,52.32,False,Comm&Mgmt
2020-02-24,2020-09-14,,7.0,139,64.76,Commerce,Mkt&HR,55.7,F,73.6,True,1,73.51,56.03,True,Comm&Mgmt
2020-01-01,2020-07-10,,7.0,140,70.65,Science,Mkt&Fin,60.27,F,67.6,True,1,87.08,55.23,False,Comm&Mgmt
,2020-08-21,,5.0,141,71.33,Commerce,Mkt&HR,77.0,F,61.37,False,1,66.75,61.55,False,Sci&Tech
2020-02-07,,29537.0,8.0,142,70.61,Commerce,Mkt&Fin,42.54,F,61.75,False,1,60.6,54.98,False,Sci&Tech
2020-01-02,2020-09-07,,9.0,143,77.33,Commerce,Mkt&HR,65.02,M,76.57,True,1,59.29,68.76,False,Comm&Mgmt
,2020-10-11,27363.0,,144,61.75,Commerce,Mkt&Fin,66.34,F,59.99,True,1,76.38,61.97,True,Comm&Mgmt
2020-01-09,2020-08-06,31942.0,6.0,145,82.57,Commerce,Mkt&HR,63.73,F,61.86,True,1,71.73,63.89,False,Comm&Mgmt
2020-02-02,2021-01-25,26166.0,12.0,146,59.84,Commerce,Mkt&Fin,54.53,M,62.05,False,1,65.82,52.01,True,Comm&Mgmt
2020-01-12,,,,147,64.89,Commerce,Mkt&HR,72.41,M,72.34,True,1,87.87,59.29,False,Sci&Tech
,,31372.0,6.0,148,69.8,Science,Mkt&Fin,81.69,M,64.68,True,1,75.55,58.52,False,Comm&Mgmt
2020-02-18,2021-01-04,37518.0,11.0,149,72.84,Commerce,Mkt&Fin,67.04,M,63.84,True,1,62.7,64.66,False,Comm&Mgmt
2020-02-12,2020-04-18,35024.0,5.0,150,63.56,Science,Mkt&Fin,72.33,M,61.64,False,1,68.49,60.66,False,Comm&Mgmt
,,,12.0,151,56.44,Commerce,Mkt&HR,59.92,M,60.81,True,1,63.09,53.36,True,Comm&Mgmt
2020-02-23,,,7.0,152,75.06,Commerce,Mkt&Fin,74.95,M,74.95,True,1,71.87,75.52,False,Sci&Tech
2020-01-02,2020-06-15,,5.0,153,51.33,Science,Mkt&Fin,66.11,F,77.5,True,1,84.21,67.89,False,Comm&Mgmt
2020-01-01,2020-06-07,,6.0,154,70.25,Science,Mkt&HR,71.2,M,70.41,True,1,77.43,54.22,False,Comm&Mgmt
2020-01-01,2020-06-01,23708.0,,155,63.41,Science,Mkt&Fin,57.0,F,66.27,False,1,73.18,65.96,True,Comm&Mgmt
2020-01-01,2020-10-16,23725.0,,156,55.88,Commerce,Mkt&Fin,67.33,M,66.4,True,1,53.66,59.81,False,Comm&Mgmt
2020-01-16,,25774.0,,157,66.54,Science,Mkt&Fin,69.05,M,72.34,True,1,73.6,55.76,False,Comm&Mgmt
2020-01-05,2020-05-22,23714.0,5.0,158,67.94,Science,Mkt&HR,61.94,F,67.06,True,1,53.41,62.81,True,Comm&Mgmt
2020-01-02,,24817.0,,159,65.34,Commerce,Mkt&HR,70.34,M,57.99,True,1,61.89,55.54,False,Comm&Mgmt
,2020-07-01,,6.0,160,85.45,Commerce,Mkt&Fin,71.2,M,69.41,True,1,71.83,56.02,True,Comm&Mgmt
,2020-09-07,31235.0,,161,67.01,Science,Mkt&Fin,69.03,M,82.17,True,1,90.45,54.19,True,Comm&Mgmt
2020-04-09,2020-05-03,24683.0,,162,76.52,Science,Mkt&HR,75.96,M,75.99,True,1,50.81,72.49,False,Sci&Tech
2020-01-04,,30219.0,5.0,163,65.54,Commerce,Mkt&Fin,61.99,M,65.06,False,1,64.46,60.44,False,Sci&Tech
,,,10.0,164,74.36,Science,Mkt&Fin,67.74,M,68.0,True,1,60.28,57.32,False,Comm&Mgmt
,,29865.0,,165,60.83,Commerce,Mkt&Fin,57.98,M,63.41,False,1,70.66,56.77,False,Sci&Tech
2020-01-01,2020-11-15,23145.0,12.0,166,70.35,Science,Mkt&Fin,61.03,F,66.55,True,1,75.46,53.87,False,Comm&Mgmt
2020-02-10,,,7.0,167,64.24,Science,Mkt&Fin,67.76,F,70.26,False,1,70.11,64.75,True,Sci&Tech
2020-01-01,,32581.0,9.0,168,61.46,Science,Mkt&Fin,62.87,M,57.2,True,1,91.32,65.11,False,Comm&Mgmt
,2020-10-11,22692.0,6.0,169,75.49,Science,Mkt&HR,59.99,F,60.29,True,1,53.49,57.51,False,Comm&Mgmt
,2020-05-18,23804.0,5.0,170,77.79,Arts,Mkt&HR,82.81,F,73.86,False,1,85.78,70.24,True,Comm&Mgmt
,,,,171,51.86,Arts,Mkt&HR,59.46,M,55.84,False,1,67.78,55.79,False,Comm&Mgmt
2020-04-02,,27558.0,,172,70.81,Commerce,Mkt&HR,55.34,M,62.97,True,1,54.85,52.02,False,Comm&Mgmt
2020-01-22,2020-10-11,25073.0,7.0,173,74.76,Science,Mkt&Fin,69.94,F,63.94,True,1,65.57,66.05,False,Comm&Mgmt
2020-03-06,,22965.0,,174,54.56,Commerce,Mkt&Fin,64.05,F,62.5,True,1,50.09,55.81,True,Comm&Mgmt
2020-01-01,2020-05-03,29813.0,,175,63.46,Commerce,Mkt&HR,81.72,M,67.18,True,1,54.66,59.32,True,Others
,2020-12-10,24279.0,5.0,176,73.3,Science,Mkt&Fin,78.48,M,78.79,True,1,60.2,57.01,False,Sci&Tech
2020-01-01,2020-04-25,25897.0,,177,58.42,Commerce,Mkt&Fin,61.3,M,63.67,True,1,82.54,60.42,False,Comm&Mgmt
2020-05-26,2020-11-22,,,178,60.26,Commerce,Mkt&HR,53.97,M,60.84,True,1,95.12,58.69,False,Comm&Mgmt
2020-07-21,2020-04-27,29687.0,,179,54.22,Science,Mkt&HR,46.27,F,63.41,True,1,73.52,63.98,True,Comm&Mgmt
2020-01-25,2020-12-01,,,180,50.14,Commerce,Mkt&HR,51.41,F,64.52,False,1,70.56,57.58,True,Comm&Mgmt
2020-05-05,2020-08-14,31040.0,7.0,181,84.78,Commerce,Mkt&HR,70.23,M,59.48,False,1,53.86,69.3,True,Comm&Mgmt
2020-01-02,,35454.0,,182,75.52,Commerce,Mkt&Fin,77.63,F,72.79,True,1,71.44,63.56,False,Comm&Mgmt
2020-01-01,2020-09-05,,12.0,183,66.09,Commerce,Mkt&Fin,72.23,F,70.97,True,1,74.4,69.17,False,Others
,2020-05-02,21212.0,,184,58.98,Science,Mkt&HR,77.76,M,68.19,True,1,76.42,58.83,False,Comm&Mgmt
,,,,185,63.24,Commerce,Mkt&Fin,57.03,F,71.47,False,1,72.18,59.0,False,Comm&Mgmt
2020-06-05,2020-06-27,,5.0,186,81.01,Commerce,Mkt&Fin,66.26,M,68.31,True,1,74.24,72.96,True,Comm&Mgmt
,2021-01-07,28030.0,12.0,187,60.47,Science,Mkt&Fin,54.53,M,57.18,True,1,79.36,63.75,False,Comm&Mgmt
,2020-06-24,,,188,54.36,Commerce,Mkt&Fin,77.61,M,64.9,True,1,73.03,56.13,False,Comm&Mgmt
2020-01-09,2020-09-11,23658.0,7.0,189,70.73,Commerce,Mkt&HR,50.36,F,57.86,False,1,57.03,68.53,False,Sci&Tech
,2020-12-04,22713.0,10.0,190,59.67,Science,Mkt&HR,56.79,F,64.89,True,1,73.7,61.31,False,Comm&Mgmt
2020-06-26,2020-07-15,36251.0,5.0,191,71.72,Science,Mkt&Fin,69.67,M,66.87,True,1,65.64,57.65,False,Comm&Mgmt
2020-02-24,2020-05-21,,,192,42.39,Science,Mkt&Fin,50.96,M,57.88,True,1,86.42,58.47,True,Others
2020-01-02,2020-05-05,39862.0,5.0,193,65.51,Science,Mkt&Fin,77.26,F,76.42,True,1,64.42,73.74,False,Sci&Tech
2020-01-03,,25900.0,,194,65.93,Commerce,Mkt&Fin,57.56,M,65.76,True,1,86.19,59.71,True,Comm&Mgmt
2020-03-21,,,8.0,195,47.74,Science,Mkt&HR,56.7,M,63.54,True,1,89.03,53.98,False,Sci&Tech
2020-05-03,2020-12-17,25210.0,6.0,196,51.44,Science,Mkt&HR,61.42,F,62.1,False,1,64.45,59.55,False,Comm&Mgmt
,2020-08-22,28133.0,5.0,197,90.33,Science,Mkt&HR,80.75,F,79.96,True,1,91.21,69.25,False,Comm&Mgmt
2020-03-05,2021-01-23,,,198,60.7,Science,Mkt&HR,58.64,M,66.42,False,1,69.73,64.52,False,Sci&Tech
2020-01-11,2020-07-30,26639.0,8.0,199,48.36,Commerce,Mkt&Fin,70.41,M,63.75,False,1,79.21,61.8,False,Comm&Mgmt
2020-01-05,2020-06-07,,6.0,200,82.16,Science,Mkt&Fin,79.55,M,75.69,True,1,70.26,58.69,False,Comm&Mgmt
